UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,1,2023,999,335423638,164575003,170848635,121142145,124093222,21532876,23592420,3342704,3266102,10477811,11476065,452003,452561,7627464,7968265,128147053,131398024,24459424,26696269,6547065,6720480,12843875,13854230,957171,957522,131937134,137924196,95202315,97847500,19578256,21588611,1143728,1178474,10042771,11034041,334965,334805,5635099,5940765,100382788,103298467,21685850,23847101,3315793,3578038,11921232,12922528,702228,702396,32637869,32924439,25939830,26245722,1954620,2003809,2198976,2087628,435040,442024,117038,117756,1992365,2027500,27764265,28099557,2773574,2849168,3231272,3142442,922643,931702,254943,255126
R,1,2023,0,3671076,1875257,1795819,1221535,1167060,301820,292603,45775,44363,114536,107687,7111,6721,184480,177385,1394337,1332935,391449,379514,97145,93914,179552,169749,17724,16886,1339746,1278951,837041,796433,256059,248296,12099,11594,103963,97729,4705,4350,125879,120549,955584,909819,316864,307280,41218,39352,151588,143003,11335,10522,535511,516868,384494,370627,45761,44307,33676,32769,10573,9958,2406,2371,58601,56836,438753,423116,74585,72234,55927,54562,27964,26746,6389,6364
R,1,2023,1,3696045,1888446,1807599,1233577,1176278,304423,296709,43260,41332,115302,109299,6724,6390,185160,177591,1407002,1342338,394330,383616,94709,90748,180694,171651,17361,16541,1371370,1308924,861765,817365,260525,254059,12447,11826,105461,99904,4492,4258,126680,121512,981036,931630,321627,313383,41684,39724,153545,145743,11167,10484,517076,498675,371812,358913,43898,42650,30813,29506,9841,9395,2232,2132,58480,56079,425966,410708,72703,70233,53025,51024,27149,25908,6194,6057
R,1,2023,2,3664210,1872814,1791396,1218462,1161637,305222,295894,43316,41590,118395,112182,6587,6196,180832,173897,1387856,1324280,393184,381117,93339,89743,182253,173277,16951,16133,1366816,1304727,851999,809324,263877,255967,12980,12510,109026,102937,4600,4296,124334,119693,969071,921900,323972,314496,41568,39885,156195,148090,11139,10427,505998,486669,366463,352313,41345,39927,30336,29080,9369,9245,1987,1900,56498,54204,418785,402380,69212,66621,51771,49858,26058,25187,5812,5706
R,1,2023,3,3777650,1929154,1848496,1273074,1213973,300356,293882,45023,43268,121140,115067,6994,6628,182567,175678,1444049,1378252,388647,379517,95622,92040,185842,176929,17555,16640,1427141,1364755,907114,860763,261251,256273,14685,14204,112048,106206,4881,4719,127162,122590,1026788,975970,322364,315922,44094,42524,160418,152436,11650,11048,502013,483741,365960,353210,39105,37609,30338,29064,9092,8861,2113,1909,55405,53088,417261,402282,66283,63595,51528,49516,25424,24493,5905,5592
R,1,2023,4,3832294,1956750,1875544,1295254,1236610,305995,298533,46086,44705,121264,115534,7151,6789,181000,173373,1464749,1398713,393170,382422,96587,93076,185233,176709,17857,16820,1450883,1387575,925094,879110,266879,261058,15073,14680,112180,106742,5053,4860,126604,121125,1044202,992884,327694,319733,44408,42696,160205,152384,11912,11270,505867,487969,370160,357500,39116,37475,31013,30025,9084,8792,2098,1929,54396,52248,420547,405829,65476,62689,52179,50380,25028,24325,5945,5550
R,1,2023,5,3901189,1993936,1907253,1322808,1261233,311945,302978,47516,45272,124660,118891,7426,6696,179581,172183,1490733,1422070,397705,386175,98486,94136,188055,179123,18236,16781,1479923,1411440,943546,895300,273295,265580,15937,15222,115667,110181,5330,4758,126148,120399,1062027,1008370,333401,323854,45823,43490,163382,155220,12351,11140,514013,495813,379262,365933,38650,37398,31579,30050,8993,8710,2096,1938,53433,51784,428706,413700,64304,62321,52663,50646,24673,23903,5885,5641
R,1,2023,6,3996331,2041479,1954852,1363471,1300189,311350,304116,49795,47887,128825,122543,7473,7037,180565,173080,1532118,1461747,396293,386643,102136,98319,192514,182965,18402,17366,1512311,1445045,971936,922796,272156,266301,16404,15911,119564,113771,5326,5020,126925,121246,1091088,1036564,331763,324270,47073,45384,167547,158962,12366,11635,529168,509807,391535,377393,39194,37815,33391,31976,9261,8772,2147,2017,53640,51834,441030,425183,64530,62373,55063,52935,24967,24003,6036,5731
R,1,2023,7,4034485,2061796,1972689,1383741,1317989,315109,306412,50262,48801,126596,120658,7341,7087,178747,171742,1550808,1478267,398844,388089,103099,99350,189081,180149,18124,17399,1526735,1457538,985544,934764,276133,268654,16613,16150,117455,111903,5235,5029,125755,121038,1103659,1048281,335164,326554,47703,45858,164386,156614,12192,11677,535061,515151,398197,383225,38976,37758,33649,32651,9141,8755,2106,2058,52992,50704,447149,429986,63680,61535,55396,53492,24695,23535,5932,5722
R,1,2023,8,4051911,2070032,1981879,1391321,1325223,315137,307053,50702,49317,129563,123335,7318,7135,175991,169816,1555745,1483671,397012,387425,103514,100363,190940,181542,17826,17162,1538722,1469129,994438,943395,276597,269433,16847,16257,120622,114886,5253,5071,124965,120087,1111749,1055996,334814,326644,48321,46387,167167,158829,12160,11614,531310,512750,396883,381828,38540,37620,33855,33060,8941,8449,2065,2064,51026,49729,443996,427675,62198,60781,55193,53976,23773,22713,5666,5548
