bioguide,name,birthday,chamber,start,end,state,seat
B000226,Richard Bassett,1745-04-02,sen,1789-03-04,1793-03-03,DE,2
B000546,Theodorick Bland,1742-03-21,rep,1789-03-04,1790-06-01,VA,9
B001086,Aedanus Burke,1743-06-16,rep,1789-03-04,1791-03-03,SC,2
C000187,Daniel Carroll,1730-07-22,rep,1789-03-04,1791-03-03,MD,6
C000538,George Clymer,1739-03-16,rep,1789-03-04,1791-03-03,PA,-1
C000710,Benjamin Contee,,rep,1789-03-04,1791-03-03,MD,3
D000013,Tristram Dalton,1738-05-28,sen,1789-03-04,1791-03-03,MA,1
E000155,Jonathan Elmer,1745-11-29,sen,1789-03-04,1791-03-03,NJ,1
F000100,William Few,1748-06-08,sen,1789-03-04,1793-03-03,GA,2
F000224,William Floyd,1734-12-17,rep,1789-03-04,1791-03-03,NY,1
G000012,George Gale,1756-06-03,rep,1789-03-04,1791-03-03,MD,5
G000403,William Grayson,,sen,1789-03-04,1791-03-03,VA,1
G000500,Jonathan Grout,1737-07-23,rep,1789-03-04,1791-03-03,MA,8
H000368,Benjamin Hawkins,1754-08-15,sen,1789-03-04,1795-03-03,NC,3
H000995,Benjamin Huntington,1736-04-19,rep,1789-03-04,1791-03-03,CT,-1
I000053,Ralph Izard,,sen,1789-03-04,1795-03-03,SC,3
J000182,William Johnson,1727-10-07,sen,1789-03-04,1791-12-31,CT,3
J000198,Samuel Johnston,1733-12-15,sen,1789-03-04,1793-03-03,NC,2
L000201,Richard Lee,1732-01-20,sen,1789-03-04,1793-03-03,VA,2
M000031,William Maclay,1737-07-20,sen,1789-03-04,1791-03-03,PA,1
M000234,George Mathews,1739-08-30,rep,1789-03-04,1791-03-03,GA,3
M000985,Robert Morris,1734-01-20,sen,1789-03-04,1795-03-03,PA,3
P000092,George Partridge,1740-02-08,rep,1789-03-04,1791-03-03,MA,5
P000102,William Paterson,1745-12-24,sen,1789-03-04,1791-03-03,NJ,2
S000624,William Smith,1728-04-12,rep,1789-03-04,1791-03-03,MD,4
S000961,Michael Stone,,rep,1789-03-04,1791-03-03,MD,1
V000053,Jeremiah Van Rensselaer,1738-08-27,rep,1789-03-04,1791-03-03,NY,6
W000783,Henry Wynkoop,1737-03-02,rep,1789-03-04,1791-03-03,PA,-1
D000324,Philemon Dickinson,1739-04-05,sen,1790-01-01,1793-03-03,NJ,2
W000059,John Walker,1744-02-13,sen,1790-01-01,1791-03-03,VA,1
A000307,John Ashe,,rep,1789-03-04,1791-03-03,NC,1
A000307,John Ashe,,rep,1791-10-24,1793-03-03,NC,3
B000167,Robert Barnwell,1761-12-21,rep,1791-10-24,1793-03-03,SC,2
B001133,Aaron Burr,1756-02-06,sen,1791-10-24,1797-03-03,NY,1
C000009,George Cabot,1752-12-03,sen,1791-10-24,1797-03-03,MA,1
C000185,Charles Carroll,1737-09-19,sen,1789-03-04,1791-03-03,MD,1
C000185,Charles Carroll,1737-09-19,sen,1791-10-24,1793-03-03,MD,1
E000147,Oliver Ellsworth,1745-04-29,sen,1789-03-04,1791-03-03,CT,1
E000147,Oliver Ellsworth,1745-04-29,sen,1791-10-24,1796-03-08,CT,1
G000139,Elbridge Gerry,1744-07-17,rep,1789-03-04,1791-03-03,MA,3
G000139,Elbridge Gerry,1744-07-17,rep,1791-10-24,1793-03-03,MA,3
H000916,Daniel Huger,1742-02-20,rep,1789-03-04,1791-03-03,SC,3
H000916,Daniel Huger,1742-02-20,rep,1791-10-24,1793-03-03,SC,3
J000036,Israel Jacobs,1726-06-09,rep,1791-10-24,1793-03-03,PA,3
K000158,Philip Key,,rep,1791-10-24,1793-03-03,MD,1
R000091,George Read,1733-09-18,sen,1789-03-04,1791-03-03,DE,1
R000091,George Read,1733-09-18,sen,1791-10-24,1793-12-31,DE,1
R000350,Moses Robinson,1741-03-22,sen,1791-10-24,1796-10-15,VT,1
S000140,Cornelius Schoonmaker,,rep,1791-10-24,1793-03-03,NY,4
S000242,Joshua Seney,1756-03-04,rep,1789-03-04,1791-03-03,MD,2
S000242,Joshua Seney,1756-03-04,rep,1791-10-24,1793-03-03,MD,2
S000340,Upton Sheredine,,rep,1791-10-24,1793-03-03,MD,6
S000349,Roger Sherman,1721-04-19,rep,1789-03-04,1791-03-03,CT,-1
S000349,Roger Sherman,1721-04-19,sen,1791-10-24,1793-12-31,CT,3
S000412,Peter Silvester,,rep,1789-03-04,1791-03-03,NY,5
S000412,Peter Silvester,,rep,1791-10-24,1793-03-03,NY,5
S000832,John Steele,1764-11-16,rep,1789-03-04,1791-03-03,NC,4
S000832,John Steele,1764-11-16,rep,1791-10-24,1793-03-03,NC,1
S000866,Samuel Sterett,,rep,1791-10-24,1793-03-03,MD,4
S001047,Jonathan Sturges,1740-08-23,rep,1789-03-04,1791-03-03,CT,-1
S001047,Jonathan Sturges,1740-08-23,rep,1791-10-24,1793-03-03,CT,-1
T000403,Thomas Tucker,1745-06-25,rep,1789-03-04,1791-03-03,SC,5
T000403,Thomas Tucker,1745-06-25,rep,1791-10-24,1793-03-03,SC,5
W000216,Anthony Wayne,1745-01-01,rep,1791-10-24,1792-03-21,GA,1
W000352,Alexander White,,rep,1789-03-04,1791-03-03,VA,1
W000352,Alexander White,,rep,1791-10-24,1793-03-03,VA,1
W000551,Hugh Williamson,1735-12-05,rep,1789-03-04,1791-03-03,NC,2
W000551,Hugh Williamson,1735-12-05,rep,1791-10-24,1793-03-03,NC,4
W000560,Francis Willis,1745-01-05,rep,1791-10-24,1793-03-03,GA,3
E000075,John Edwards,,sen,1792-01-01,1795-03-03,KY,3
P000473,Richard Potts,1753-07-19,sen,1793-01-10,1796-10-14,MD,1
A000280,James Armstrong,1748-08-29,rep,1793-12-02,1795-03-03,PA,-1
B000282,John Beatty,1749-12-10,rep,1793-12-02,1795-03-03,NJ,-1
B000661,Elias Boudinot,1740-05-02,rep,1789-03-04,1791-03-03,NJ,-1
B000661,Elias Boudinot,1740-05-02,rep,1791-10-24,1793-03-03,NJ,-1
B000661,Elias Boudinot,1740-05-02,rep,1793-12-02,1795-03-03,NJ,-1
B000671,Shearjashub Bourne,1746-06-14,rep,1791-10-24,1793-03-03,MA,5
B000671,Shearjashub Bourne,1746-06-14,rep,1793-12-02,1795-03-03,MA,3
B000739,William Bradford,1729-11-04,sen,1793-12-02,1797-12-31,RI,2
C000012,Lambert Cadwalader,,rep,1789-03-04,1791-03-03,NJ,-1
C000012,Lambert Cadwalader,,rep,1793-12-02,1795-03-03,NJ,-1
C000163,Thomas Carnes,,rep,1793-12-02,1795-03-03,GA,0
C000418,Abraham Clark,1726-02-15,rep,1791-10-24,1793-03-03,NJ,-1
