bioguide,name,birthday,chamber,start,end,state,seat
C000127,Maria Cantwell,1958-10-13,rep,1993-01-05,1995-01-03,WA,1
C000127,Maria Cantwell,1958-10-13,sen,2001-01-03,2007-01-03,WA,1
C000127,Maria Cantwell,1958-10-13,sen,2007-01-04,2013-01-03,WA,1
C000127,Maria Cantwell,1958-10-13,sen,2013-01-03,2019-01-03,WA,1
C000127,Maria Cantwell,1958-10-13,sen,2019-01-03,2025-01-03,WA,1
C000127,Maria Cantwell,1958-10-13,sen,2025-01-03,2031-01-03,WA,1
K000367,Amy Klobuchar,1960-05-25,sen,2007-01-04,2013-01-03,MN,1
K000367,Amy Klobuchar,1960-05-25,sen,2013-01-03,2019-01-03,MN,1
K000367,Amy Klobuchar,1960-05-25,sen,2019-01-03,2025-01-03,MN,1
K000367,Amy Klobuchar,1960-05-25,sen,2025-01-03,2031-01-03,MN,1
S000033,Bernard Sanders,1941-09-08,rep,1991-01-03,1993-01-03,VT,0
S000033,Bernard Sanders,1941-09-08,rep,1993-01-05,1995-01-03,VT,0
S000033,Bernard Sanders,1941-09-08,rep,1995-01-04,1997-01-03,VT,0
S000033,Bernard Sanders,1941-09-08,rep,1997-01-07,1999-01-03,VT,0
S000033,Bernard Sanders,1941-09-08,rep,1999-01-06,2001-01-03,VT,0
S000033,Bernard Sanders,1941-09-08,rep,2001-01-03,2003-01-03,VT,0
S000033,Bernard Sanders,1941-09-08,rep,2003-01-07,2005-01-03,VT,0
S000033,Bernard Sanders,1941-09-08,rep,2005-01-04,2007-01-03,VT,0
S000033,Bernard Sanders,1941-09-08,sen,2007-01-04,2013-01-03,VT,1
S000033,Bernard Sanders,1941-09-08,sen,2013-01-03,2019-01-03,VT,1
S000033,Bernard Sanders,1941-09-08,sen,2019-01-03,2025-01-03,VT,1
S000033,Bernard Sanders,1941-09-08,sen,2025-01-03,2031-01-03,VT,1
W000802,Sheldon Whitehouse,1955-10-20,sen,2007-01-04,2013-01-03,RI,1
W000802,Sheldon Whitehouse,1955-10-20,sen,2013-01-03,2019-01-03,RI,1
