Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Unincorporated businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1989:Q3,Silent,16375621,17643080,4588074,1060569,1707410,3103469,729029,2202944,4251586,1267460,831943,308962,126555
1989:Q3,BabyBoom,3987458,5819259,2261008,790286,379142,378316,283735,754596,972175,1831800,1355515,445778,30507
1989:Q3,GenX,77444,130958,44121,45325,3891,545,1257,12083,23736,53514,23697,29467,350
1989:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1989:Q4,Silent,16611911,17901717,4654414,1067708,1755184,3153646,753685,2217980,4299100,1289805,848067,315455,126283
1989:Q4,BabyBoom,4113166,5990437,2292050,807710,393008,410709,300078,765360,1021521,1877271,1386785,459552,30934
1989:Q4,GenX,90862,151330,47852,50165,3912,2712,2472,13486,30731,60468,25730,34278,460
1989:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q1,Silent,16658549,17968215,4643331,1091837,1708192,3202156,766569,2227821,4328309,1309665,874638,306334,128693
1990:Q1,BabyBoom,4112047,6024459,2315638,820896,325319,430853,299743,772852,1059158,1912412,1429541,449397,33474
1990:Q1,GenX,96404,164714,53645,54249,0,4932,1029,14732,36127,68309,31221,36588,500
1990:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q2,Silent,16842953,18174547,4697947,1094727,1761985,3250560,782924,2240553,4345851,1331594,897612,305501,128481
1990:Q2,BabyBoom,4185802,6134136,2319419,837644,344453,456643,314640,784232,1077105,1948334,1461865,452534,33935
1990:Q2,GenX,100786,178471,53040,60015,0,7405,1101,16393,40517,77684,36440,40677,567
1990:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q3,Silent,16815763,18160022,4707719,1110474,1610048,3297637,786207,2256410,4391527,1344259,913559,306662,124038
1990:Q3,BabyBoom,4079002,6063322,2377725,842430,150945,473571,296028,799773,1122850,1984320,1493496,459702,31122
1990:Q3,GenX,115014,201789,61751,63250,0,10032,833,18545,47377,86775,40210,45939,626
1990:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q4,Silent,17046355,18400618,4664660,1120136,1728822,3344452,812560,2262931,4467058,1354263,921387,306632,126244
1990:Q4,BabyBoom,4270414,6296505,2395387,851088,243390,494483,316029,808053,1188075,2026091,1526575,465914,33602
1990:Q4,GenX,136137,230585,72224,67818,0,12967,1045,20189,56342,94449,41849,51844,756
1990:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1991:Q1,Silent,17288800,18639863,4663475,1124261,1900104,3390675,844558,2254946,4461843,1351063,928955,294592,127516
1991:Q1,BabyBoom,4487071,6532197,2398392,868404,387310,515364,340893,803749,1218085,2045125,1556981,452729,35415
1991:Q1,GenX,157757,257248,77299,75119,0,16207,2093,20700,65829,99490,43755,54886,849
1991:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1991:Q2,Silent,17357855,18721759,4686245,1126086,1908427,3436558,861942,2255044,4447457,1363905,947796,289856,126253
1991:Q2,BabyBoom,4494953,6574155,2428045,876940,364389,540217,348382,807798,1208384,2079201,1592503,451482,35216
1991:Q2,GenX,164887,276108,83027,80673,0,19826,1816,22035,68732,111221,50352,59968,901
1991:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1991:Q3,Silent,17503256,18880603,4685706,1137254,1999726,3481773,886376,2248295,4441473,1377347,960226,286022,131099
1991:Q3,BabyBoom,4665149,6755597,2481219,881185,429026,564151,368108,805813,1226095,2090448,1599012,451386,40050
1991:Q3,GenX,184191,305528,94966,85036,0,23806,4591,22745,74383,121337,55265,65092,980
1991:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1991:Q4,Silent,17766941,19166806,4695883,1136829,2215381,3526461,912709,2234920,4444623,1399865,977569,285460,136836
1991:Q4,BabyBoom,4958829,7089707,2526848,889465,625194,589474,394443,797309,1266974,2130878,1627288,457748,45842
1991:Q4,GenX,222076,358563,106902,91153,16789,28199,9206,22644,83669,136487,63023,72374,1090
1991:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1992:Q1,Silent,17777377,19185336,4724966,1130332,2202960,3571676,924731,2225695,4404976,1407959,999206,273796,134957
1992:Q1,BabyBoom,4973322,7098296,2558420,902524,590358,642753,390113,792981,1221146,2124974,1635279,444468,45227
1992:Q1,GenX,219519,369614,115431,99348,10368,33345,6582,22901,81639,150095,73791,75090,1214
1992:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1992:Q2,Silent,17827964,19249621,4747959,1128805,2220321,3634443,941624,2220477,4355992,1421657,1014683,268653,138321
1992:Q2,BabyBoom,5037199,7172956,2583888,916284,583635,694454,401088,792998,1200609,2135758,1643718,442857,49183
1992:Q2,GenX,215349,380377,121654,108131,6887,25637,6854,23606,87608,165028,82843,80822,1363
1992:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1992:Q3,Silent,17980421,19410597,4747643,1140445,2291676,3697383,963046,2221577,4348827,1430176,1026292,266005,137879
1992:Q3,BabyBoom,5257205,7432593,2677006,918586,638747,746201,421723,800403,1229928,2175388,1678563,446779,50046
1992:Q3,GenX,231293,412954,139339,112693,12154,16895,10373,25262,96237,181661,91024,89149,1488
1992:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1992:Q4,Silent,18169301,19599864,4735919,1143952,2475743,3717155,965008,2209573,4352514,1430563,1025336,266783,138444
